row,col,p,fdr
146,394,0,0
898,20664,0,0
85,154,0,0
6314,16979,0,0
1756,3073,0,0
5009,20664,0,0
19,24,0,0
89,321,0,0
236,321,0,0
394,1406,0,0
23,157,0,0
11194,20664,0,0
104,151,0,0
7332,36297,0,0
14197,36297,0,0
7332,14197,0,0
85,100,0,0
7918,10202,0,0
1406,6904,0,0
23,197,0,0
19,198,0,0
101,197,0,0
2751,20680,0,0
1264,1716,0,0
2751,4949,0,0
2226,6904,0,0
152,3963,0,0
145,160,0,0
10161,36297,0,0
7422,27347,0,0
7332,10161,0,0
10161,14197,0,0
234,365,0,0
146,4843,0,0
1406,3078,0,0
75,3548,0,0
159,1069,0,0
657,18357,0,0
209,9853,0,0
4814,4841,0,0
303,589,0,0
884,14661,0,0
7629,17330,0,0
85,157,0,0
145,1449,0,0
7629,11468,0,0
11468,17330,0,0
67,914,0,0
6166,12698,0,0
25,1069,0,0
6166,10071,0,0
160,758,0,0
7729,24490,0,0
7629,14747,0,0
1406,2226,0,0
14747,17330,0,0
30,35,0,0
10071,12698,0,0
11468,14747,0,0
287,365,0,0
10807,19038,0,0
19038,27302,0,0
2225,22079,0,0
177,610,0,0
303,2226,0,0
170,177,0,0
101,154,0,0
158,916,0,0
100,101,0,0
811,1625,0,0
30,33,0,0
27,365,0,0
157,974,0,0
3073,4843,0,0
3078,6668,0,0
23,154,0,0
1258,1406,0,0
465,1792,0,0
6309,26996,0,0
104,197,0,0
26,151,0,0
7610,25263,0,0
23,100,0,0
598,918,0,0
303,12129,0,0
209,7713,0,0
145,161,0,0
4770,15426,0,0
16605,18357,0,0
657,16605,0,0
33,194,0,0
239,365,0,0
920,4814,0,0
365,1686,0,0
19,471,0,0
365,1260,0,0
1792,6904,0,0
1050,4770,0,0
2226,12129,0,0
303,6668,0,0
504,758,0,0
19,33,0,0
152,465,0,0
19,197,0,0
1770,5332,0,0
154,633,0,0
161,758,0,0
35,194,0,0
19,100,0,0
4984,25263,0,0
4984,7610,0,0
19,236,0,0
2283,11536,0,0
4147,4555,0,0
598,874,0,0
153,158,0,0
1050,15426,0,0
12,22079,0,0
1051,7534,0,0
7396,10807,0,0
7396,27302,0,0
10708,13337,0,0
98,4814,0,0
1530,10319,0,0
19,450,0,0
30,471,0,0
146,589,0,0
288,365,0,0
11702,35607,0,0
30,450,0,0
5959,20106,0,0
13,78,0,0
22,504,0,0
1099,16626,0,0
198,466,0,0
758,1449,0,0
19,35,0,0
561,6668,0,0
85,151,0,0
1203,15509,0,0
5166,14749,0,0
584,8349,0,0
209,5332,0,0
447,598,0,0
4814,14635,0,0
833,1099,0,0
1099,30904,0,0
303,1792,0,0
197,466,0,0
154,466,0,0
2039,5178,0,0
88,974,0,0
238,365,0,0
916,974,0,0
87,365,0,0
4814,12749,0,0
369,9689,0,0
98,958,0,0
100,633,0,0
104,198,0,0
238,447,0,0
87,447,0,0
19,89,0,0
833,16626,0,0
16626,30904,0,0
19,916,0,0
151,466,0,0
852,3104,0,0
1258,14749,0,0
1081,14172,0,0
100,466,0,0
